Politician Name,Party,State,Volume,Stock Name,Transaction Type,Security Type
Max Miller,Republican,OH,,ALPINE INVESTORS IX LP,buy,
Don Beyer,Democrat,VA,,VIRGINIA HOUSING DEVELOPMENT AUTHORITY,buy,
Tom Carper,Democrat,DE,,Ryder System Inc,sell,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,Dominion Energy Inc,buy,
Tom Carper,Democrat,DE,,The Mosaic Company,sell,
Tom Carper,Democrat,DE,,Nutrien Ltd,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,sell,
Tom Carper,Democrat,DE,,US TREASURY BILLS,sell,
Tom Carper,Democrat,DE,,US TREASURY BILLS,sell,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,INNODATA INC,sell,
Tom Carper,Democrat,DE,,SOFI TECHNOLOGIES INC,sell,
Tom Carper,Democrat,DE,,Livent Corp,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,sell,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,US TREASURY BILLS,sell,
Tom Carper,Democrat,DE,,US TREASURY BILLS,buy,
Tom Carper,Democrat,DE,,TAMPA ELECTRIC CO,buy,
Tom Carper,Democrat,DE,,Sprott Physical Gold & Silver Trust,sell,
Tom Carper,Democrat,DE,,Sprott Physical Gold & Silver Trust,sell,
Tom Carper,Democrat,DE,,Sociedad Quimica y Minera de Chile SA Soqimich,buy,
Tom Carper,Democrat,DE,,Sprott Physical Gold & Silver Trust,sell,
Tom Carper,Democrat,DE,,SPDR Gold Trust,sell,
Tom Carper,Democrat,DE,,Equitrans Midstream Corp,sell,
Tom Carper,Democrat,DE,,NVIDIA Corporation,buy,
Tom Carper,Democrat,DE,,Apple Inc,sell,
Tom Carper,Democrat,DE,,ISHARES GLBL CLEAN ENRGY ETF,buy,
Kathy Castor,Democrat,FL,,Berkshire Hathaway Inc,sell,
Gerry Connolly,Democrat,VA,,Dominion Energy Inc,sell,
Gerry Connolly,Democrat,VA,,Leidos Holdings Inc,sell,
Gerry Connolly,Democrat,VA,,Science Applications International Corp,sell,
Michael Burgess,Republican,TX,,Illumina Inc,sell,
Mitch McConnell,Republican,KY,,Wells Fargo & Co,buy,
Max Miller,Republican,OH,,ELLIOTT ASSOCIATES LP,buy,
Rick Scott,Republican,FL,,PORT AUTHORITY OF NEW YORK AND NEW JERSEY,sell,
Rick Scott,Republican,FL,,NEW YORK STATE URBAN DEVELOPMENT CORP,sell,
Mark Green,Republican,TN,,NGL Energy Partners LP,sell,
Bill Keating,Democrat,MA,,Capital One Financial Corp,buy,
Mike Garcia,Republican,CA,,US TREASURY BOND,buy,
Pete Sessions,Republican,TX,,General Mills Inc,sell,
Pete Sessions,Republican,TX,,US TREASURY BILLS,sell,
Pete Sessions,Republican,TX,,US TREASURY BILLS,buy,
Pete Sessions,Republican,TX,,US TREASURY BOND,buy,
Pete Sessions,Republican,TX,,US TREASURY BOND,buy,
